t,app,alert_window,model,TP,FN,FP,F1
6,app3,3,M1-08,14,4,7,0.718
6,app3,3,M1-09,14,4,9,0.683
6,app3,6,M1-00,14,4,7,0.718
6,app3,6,M1-01,14,4,6,0.737
6,app3,6,M1-02,13,5,6,0.703
6,app3,6,M1-03,15,3,5,0.789
6,app3,6,M1-04,13,5,9,0.65
6,app3,6,M1-05,15,3,6,0.769
6,app3,6,M1-06,14,4,5,0.757
6,app3,6,M1-07,13,5,8,0.667
6,app3,6,M1-08,14,4,7,0.718
6,app3,6,M1-09,14,4,9,0.683
6,app3,9,M1-00,14,4,6,0.737
6,app3,9,M1-01,14,4,6,0.737
6,app3,9,M1-02,13,5,6,0.703
6,app3,9,M1-03,15,3,5,0.789
6,app3,9,M1-04,13,5,8,0.667
6,app3,9,M1-05,15,3,5,0.789
6,app3,9,M1-06,14,4,5,0.757
6,app3,9,M1-07,13,5,8,0.667
6,app3,9,M1-08,14,4,5,0.757
6,app3,9,M1-09,14,4,8,0.7
6,app3,12,M1-00,13,5,7,0.684
6,app3,12,M1-01,14,4,6,0.737
6,app3,12,M1-02,13,5,6,0.703
6,app3,12,M1-03,15,3,5,0.789
6,app3,12,M1-04,14,4,6,0.737
6,app3,12,M1-05,15,3,5,0.789
6,app3,12,M1-06,14,4,5,0.757
6,app3,12,M1-07,12,6,9,0.615
6,app3,12,M1-08,14,4,5,0.757
6,app3,12,M1-09,14,4,6,0.737
6,app3,24,M1-00,14,4,4,0.778
6,app3,24,M1-01,14,4,4,0.778
6,app3,24,M1-02,13,5,5,0.722
6,app3,24,M1-03,15,3,4,0.811
6,app3,24,M1-04,14,4,4,0.778
6,app3,24,M1-05,15,3,3,0.833
6,app3,24,M1-06,14,4,3,0.8
6,app3,24,M1-07,13,5,6,0.703
6,app3,24,M1-08,14,4,4,0.778
6,app3,24,M1-09,14,4,5,0.757
6,app3,72,M1-00,14,4,3,0.8
6,app3,72,M1-01,14,4,3,0.8
6,app3,72,M1-02,13,5,4,0.743
6,app3,72,M1-03,15,3,2,0.857
6,app3,72,M1-04,14,4,3,0.8
6,app3,72,M1-05,15,3,2,0.857
6,app3,72,M1-06,14,4,2,0.824
6,app3,72,M1-07,13,5,5,0.722
6,app3,72,M1-08,14,4,3,0.8
6,app3,72,M1-09,14,4,4,0.778
12,app0,1,M1-00,0,18,8,0.0
12,app0,1,M1-01,0,18,7,0.0
12,app0,1,M1-02,0,18,4,0.0
12,app0,1,M1-03,0,18,6,0.0
12,app0,1,M1-04,0,18,5,0.0
12,app0,1,M1-05,0,18,8,0.0
12,app0,1,M1-06,0,18,8,0.0
12,app0,1,M1-07,0,18,7,0.0
12,app0,1,M1-08,0,18,8,0.0
12,app0,1,M1-09,0,18,9,0.0
12,app0,3,M1-00,2,16,6,0.154
12,app0,3,M1-01,1,17,6,0.08
12,app0,3,M1-02,0,18,4,0.0
12,app0,3,M1-03,1,17,5,0.083
12,app0,3,M1-04,0,18,5,0.0
12,app0,3,M1-05,1,17,7,0.077
12,app0,3,M1-06,1,17,7,0.077
12,app0,3,M1-07,1,17,6,0.08
12,app0,3,M1-08,1,17,7,0.077
12,app0,3,M1-09,1,17,8,0.074
12,app0,6,M1-00,2,16,4,0.167
12,app0,6,M1-01,1,17,6,0.08
12,app0,6,M1-02,0,18,4,0.0
12,app0,6,M1-03,0,18,4,0.0
12,app0,6,M1-04,0,18,4,0.0
12,app0,6,M1-05,1,17,6,0.08
12,app0,6,M1-06,1,17,5,0.083
12,app0,6,M1-07,1,17,5,0.083
12,app0,6,M1-08,0,18,5,0.0
12,app0,6,M1-09,1,17,6,0.08
12,app0,9,M1-00,3,15,3,0.25
12,app0,9,M1-01,2,16,5,0.16
12,app0,9,M1-02,1,17,3,0.091
12,app0,9,M1-03,2,16,2,0.182
12,app0,9,M1-04,0,18,4,0.0
12,app0,9,M1-05,2,16,4,0.167
12,app0,9,M1-06,1,17,5,0.083
12,app0,9,M1-07,1,17,5,0.083
12,app0,9,M1-08,1,17,4,0.087
12,app0,9,M1-09,3,15,3,0.25
12,app0,12,M1-00,3,15,2,0.261
12,app0,12,M1-01,2,16,4,0.167
12,app0,12,M1-02,2,16,1,0.19
12,app0,12,M1-03,2,16,2,0.182
12,app0,12,M1-04,0,18,4,0.0
12,app0,12,M1-05,2,16,4,0.167
12,app0,12,M1-06,1,17,4,0.087
12,app0,12,M1-07,0,18,4,0.0
12,app0,12,M1-08,1,17,4,0.087
12,app0,12,M1-09,2,16,3,0.174
12,app0,24,M1-00,3,15,2,0.261
12,app0,24,M1-01,2,16,4,0.167
12,app0,24,M1-02,2,16,1,0.19
12,app0,24,M1-03,2,16,1,0.19
12,app0,24,M1-04,2,16,2,0.182
12,app0,24,M1-05,2,16,3,0.174
12,app0,24,M1-06,2,16,2,0.182
12,app0,24,M1-07,2,16,2,0.182
12,app0,24,M1-08,2,16,2,0.182
12,app0,24,M1-09,4,14,1,0.348
12,app0,72,M1-00,3,15,1,0.273
12,app0,72,M1-01,2,16,2,0.182
12,app0,72,M1-02,2,16,0,0.2
12,app0,72,M1-03,2,16,0,0.2
12,app0,72,M1-04,2,16,1,0.19
12,app0,72,M1-05,2,16,2,0.182
12,app0,72,M1-06,2,16,1,0.19
12,app0,72,M1-07,2,16,1,0.19
12,app0,72,M1-08,2,16,1,0.19
12,app0,72,M1-09,4,14,0,0.364
12,app1,1,M1-00,0,18,8,0.0
12,app1,1,M1-01,0,18,7,0.0
12,app1,1,M1-02,0,18,4,0.0
12,app1,1,M1-03,0,18,6,0.0
12,app1,1,M1-04,0,18,5,0.0
12,app1,1,M1-05,0,18,8,0.0
12,app1,1,M1-06,0,18,8,0.0
12,app1,1,M1-07,0,18,7,0.0
12,app1,1,M1-08,0,18,8,0.0
12,app1,1,M1-09,0,18,9,0.0
12,app1,3,M1-00,2,16,5,0.16
12,app1,3,M1-01,1,17,4,0.087
12,app1,3,M1-02,0,18,4,0.0
12,app1,3,M1-03,1,17,4,0.087
12,app1,3,M1-04,0,18,5,0.0
12,app1,3,M1-05,1,17,5,0.083
12,app1,3,M1-06,1,17,4,0.087
12,app1,3,M1-07,1,17,6,0.08
12,app1,3,M1-08,1,17,6,0.08
12,app1,3,M1-09,1,17,6,0.08
12,app1,6,M1-00,2,16,3,0.174
12,app1,6,M1-01,1,17,4,0.087
12,app1,6,M1-02,0,18,3,0.0
12,app1,6,M1-03,1,17,3,0.091
12,app1,6,M1-04,0,18,4,0.0
12,app1,6,M1-05,1,17,5,0.083
12,app1,6,M1-06,1,17,3,0.091
12,app1,6,M1-07,1,17,5,0.083
12,app1,6,M1-08,1,17,4,0.087
12,app1,6,M1-09,2,16,3,0.174
12,app1,9,M1-00,3,15,2,0.261
12,app1,9,M1-01,2,16,3,0.174
12,app1,9,M1-02,1,17,2,0.095
12,app1,9,M1-03,2,16,1,0.19
12,app1,9,M1-04,0,18,4,0.0
12,app1,9,M1-05,2,16,4,0.167
12,app1,9,M1-06,2,16,2,0.182
12,app1,9,M1-07,2,16,3,0.174
12,app1,9,M1-08,2,16,2,0.182
12,app1,9,M1-09,3,15,2,0.261
12,app1,12,M1-00,3,15,1,0.273
12,app1,12,M1-01,2,16,2,0.182
12,app1,12,M1-02,2,16,1,0.19
12,app1,12,M1-03,2,16,0,0.2
12,app1,12,M1-04,1,17,3,0.091
12,app1,12,M1-05,2,16,2,0.182
12,app1,12,M1-06,2,16,2,0.182
12,app1,12,M1-07,2,16,2,0.182
12,app1,12,M1-08,2,16,2,0.182
12,app1,12,M1-09,3,15,1,0.273
12,app1,24,M1-00,3,15,1,0.273
12,app1,24,M1-01,2,16,2,0.182
12,app1,24,M1-02,2,16,0,0.2
12,app1,24,M1-03,2,16,0,0.2
12,app1,24,M1-04,2,16,1,0.19
12,app1,24,M1-05,2,16,2,0.182
12,app1,24,M1-06,2,16,1,0.19
12,app1,24,M1-07,2,16,1,0.19
12,app1,24,M1-08,2,16,1,0.19
12,app1,24,M1-09,4,14,0,0.364
12,app1,72,M1-00,3,15,1,0.273
12,app1,72,M1-01,2,16,2,0.182
12,app1,72,M1-02,2,16,0,0.2
12,app1,72,M1-03,2,16,0,0.2
12,app1,72,M1-04,2,16,1,0.19
12,app1,72,M1-05,2,16,2,0.182
12,app1,72,M1-06,2,16,1,0.19
12,app1,72,M1-07,2,16,1,0.19
12,app1,72,M1-08,2,16,1,0.19
12,app1,72,M1-09,4,14,0,0.364
12,app2,1,M1-00,15,3,6,0.769
12,app2,1,M1-01,14,4,6,0.737
12,app2,1,M1-02,15,3,4,0.811
12,app2,1,M1-03,16,2,4,0.842
12,app2,1,M1-04,14,4,5,0.757
12,app2,1,M1-05,13,5,7,0.684
12,app2,1,M1-06,14,4,7,0.718
12,app2,1,M1-07,14,4,5,0.757
12,app2,1,M1-08,15,3,4,0.811
12,app2,1,M1-09,15,3,7,0.75
12,app2,3,M1-00,15,3,5,0.789
12,app2,3,M1-01,14,4,4,0.778
12,app2,3,M1-02,15,3,4,0.811
12,app2,3,M1-03,16,2,4,0.842
12,app2,3,M1-04,14,4,5,0.757
12,app2,3,M1-05,13,5,7,0.684
12,app2,3,M1-06,14,4,6,0.737
12,app2,3,M1-07,14,4,5,0.757
12,app2,3,M1-08,15,3,4,0.811
12,app2,3,M1-09,15,3,7,0.75
12,app2,6,M1-00,15,3,4,0.811
12,app2,6,M1-01,14,4,4,0.778
12,app2,6,M1-02,15,3,4,0.811
12,app2,6,M1-03,16,2,4,0.842
12,app2,6,M1-04,14,4,5,0.757
12,app2,6,M1-05,13,5,7,0.684
12,app2,6,M1-06,14,4,5,0.757
12,app2,6,M1-07,14,4,5,0.757
12,app2,6,M1-08,15,3,4,0.811
12,app2,6,M1-09,15,3,5,0.789
12,app2,9,M1-00,15,3,3,0.833
12,app2,9,M1-01,14,4,3,0.8
12,app2,9,M1-02,15,3,3,0.833
12,app2,9,M1-03,16,2,2,0.889
12,app2,9,M1-04,13,5,6,0.703
12,app2,9,M1-05,13,5,6,0.703
12,app2,9,M1-06,14,4,4,0.778
12,app2,9,M1-07,14,4,4,0.778
12,app2,9,M1-08,15,3,2,0.857
12,app2,9,M1-09,15,3,4,0.811
12,app2,12,M1-00,15,3,2,0.857
12,app2,12,M1-01,14,4,2,0.824
12,app2,12,M1-02,15,3,2,0.857
12,app2,12,M1-03,16,2,1,0.914
12,app2,12,M1-04,14,4,4,0.778
12,app2,12,M1-05,13,5,4,0.743
12,app2,12,M1-06,14,4,4,0.778
12,app2,12,M1-07,14,4,3,0.8
12,app2,12,M1-08,15,3,2,0.857
12,app2,12,M1-09,15,3,3,0.833
12,app2,24,M1-00,15,3,2,0.857
12,app2,24,M1-01,14,4,2,0.824
12,app2,24,M1-02,15,3,1,0.882
12,app2,24,M1-03,16,2,1,0.914
12,app2,24,M1-04,14,4,2,0.824
12,app2,24,M1-05,13,5,4,0.743
12,app2,24,M1-06,14,4,3,0.8
12,app2,24,M1-07,14,4,2,0.824
12,app2,24,M1-08,15,3,1,0.882
12,app2,24,M1-09,15,3,2,0.857
12,app2,72,M1-00,15,3,2,0.857
12,app2,72,M1-01,14,4,2,0.824
12,app2,72,M1-02,15,3,1,0.882
12,app2,72,M1-03,16,2,1,0.914
12,app2,72,M1-04,14,4,2,0.824
12,app2,72,M1-05,13,5,4,0.743
12,app2,72,M1-06,14,4,3,0.8
12,app2,72,M1-07,14,4,2,0.824
12,app2,72,M1-08,15,3,1,0.882
12,app2,72,M1-09,15,3,2,0.857
12,app3,1,M1-00,15,3,6,0.769
12,app3,1,M1-01,14,4,6,0.737
12,app3,1,M1-02,15,3,4,0.811
12,app3,1,M1-03,16,2,4,0.842
12,app3,1,M1-04,14,4,5,0.757
12,app3,1,M1-05,13,5,7,0.684
12,app3,1,M1-06,14,4,7,0.718
12,app3,1,M1-07,14,4,5,0.757
12,app3,1,M1-08,15,3,4,0.811
12,app3,1,M1-09,15,3,7,0.75
12,app3,3,M1-00,15,3,5,0.789
12,app3,3,M1-01,14,4,6,0.737
12,app3,3,M1-02,15,3,4,0.811
12,app3,3,M1-03,16,2,4,0.842
12,app3,3,M1-04,14,4,5,0.757
12,app3,3,M1-05,13,5,7,0.684
12,app3,3,M1-06,14,4,7,0.718
12,app3,3,M1-07,14,4,5,0.757
12,app3,3,M1-08,15,3,4,0.811
12,app3,3,M1-09,15,3,7,0.75
12,app3,6,M1-00,15,3,5,0.789
12,app3,6,M1-01,14,4,5,0.757
12,app3,6,M1-02,15,3,4,0.811
12,app3,6,M1-03,16,2,4,0.842
12,app3,6,M1-04,14,4,5,0.757
12,app3,6,M1-05,13,5,7,0.684
12,app3,6,M1-06,14,4,6,0.737
12,app3,6,M1-07,14,4,5,0.757
12,app3,6,M1-08,15,3,4,0.811
12,app3,6,M1-09,15,3,6,0.769
12,app3,9,M1-00,15,3,4,0.811
12,app3,9,M1-01,14,4,4,0.778
12,app3,9,M1-02,15,3,3,0.833
12,app3,9,M1-03,16,2,3,0.865
12,app3,9,M1-04,14,4,5,0.757
12,app3,9,M1-05,13,5,6,0.703
12,app3,9,M1-06,14,4,6,0.737
12,app3,9,M1-07,14,4,5,0.757
12,app3,9,M1-08,15,3,4,0.811
12,app3,9,M1-09,15,3,5,0.789
12,app3,12,M1-00,15,3,3,0.833
12,app3,12,M1-01,14,4,4,0.778
12,app3,12,M1-02,15,3,2,0.857
12,app3,12,M1-03,16,2,3,0.865
12,app3,12,M1-04,14,4,5,0.757
12,app3,12,M1-05,13,5,6,0.703
12,app3,12,M1-06,13,5,7,0.684
12,app3,12,M1-07,13,5,6,0.703
12,app3,12,M1-08,15,3,4,0.811
12,app3,12,M1-09,14,4,6,0.737
12,app3,24,M1-00,15,3,3,0.833
12,app3,24,M1-01,14,4,4,0.778
12,app3,24,M1-02,15,3,2,0.857
12,app3,24,M1-03,16,2,2,0.889
12,app3,24,M1-04,14,4,3,0.8
12,app3,24,M1-05,13,5,5,0.722
12,app3,24,M1-06,14,4,4,0.778
12,app3,24,M1-07,14,4,3,0.8
12,app3,24,M1-08,15,3,2,0.857
12,app3,24,M1-09,15,3,3,0.833
12,app3,72,M1-00,15,3,2,0.857
12,app3,72,M1-01,14,4,2,0.824
12,app3,72,M1-02,15,3,1,0.882
12,app3,72,M1-03,16,2,1,0.914
12,app3,72,M1-04,14,4,2,0.824
12,app3,72,M1-05,13,5,4,0.743
12,app3,72,M1-06,14,4,3,0.8
12,app3,72,M1-07,14,4,2,0.824
12,app3,72,M1-08,15,3,1,0.882
12,app3,72,M1-09,15,3,2,0.857
